title,publish_time,source,content,processed_at
中国建筑国际将于7月11日派发末期股息每股0.285港元,2025年03月21日 14:51,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 中国建筑国际(12.6, -0.14, -1.10%)（03311）发布公告，该公司将于2025年7月11日派发末期股息每股0.285港元。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 14:52:21.884230
中国建筑国际发布年度业绩 股东应占溢利93.61亿港元同比增长2.1%,2025年03月21日 14:50,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 中国建筑国际(12.6, -0.14, -1.10%)（03311）发布截至2024年12月31日止年度业绩，营业额1151.07亿港元，同比增长1.2%；股东应占溢利93.61亿港元，同比增长2.1%；每股盈利基本1.86港元；拟派末期股息每股28.5港仙。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 14:52:21.884230
华润饮料发布年度业绩 股东应占溢利16.37亿元同比增长23.12%,2025年03月21日 14:48,新浪港股,. .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 华润饮料（02460）发布截至2024年12月31日止年度业绩，收入人民币135.21亿元，同比增长0.05%；股东应占溢利16.37亿元，同比增长23.12%；每股基本收益0.79元；拟派末期股息每股0.307元及特别股息每股0.176元。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任,2025-03-21 14:52:21.884230
招金矿业按持股比向山东瑞银增资,2025年03月21日 14:47,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 招金矿业(15.5, -0.48, -3.00%)（01818）发布公告，于2025年3月21日（交易时段后），公司、紫金投资及山东瑞银订立增资协议，据此，公司及紫金投资将按彼等各自于山东瑞银的现有持股百分比向山东瑞银出资合共约人民币6.89亿元（其中，公司将出资约人民币4.82亿元，且紫金投资将出资约人民币2.07亿元）。增资完成后，山东瑞银的注册资本将由约人民币14.41亿元增至约人民币21.3亿元，而公司及紫金投资将继续分别持有山东瑞银70%及30%的股权。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 14:52:21.884230
NFC卡片错误，李荣浩发文斥责网易云音乐：没技术为什么要做？,2025年03月21日 14:47,新浪科技,歌手李荣浩今日发斥责网易云音乐。李荣浩称，“之前新专辑有错字问题，我们对于专辑的质量进行了严格的把控和监督，确保质量没有问题，发货前还去随机抽取了十本，确保本身没有问题才允许发货。结果网易云的nfc卡片链接刷出来又是错的”。 对于上述事件的不满，李荣浩发出六连问： 网易云音乐，你们既然没有这个技术为什么要做这件事？ 有这个技术没有人能监督明白，为什么要做这件事？ 就这么合作的吗？ 你知道那种不得不承认这世界就是个巨大的草台班子是什么心情吗？ 你这么大个公司没人去刷一下你自己制作的卡吗？ 没完了是吗？ 对此，有网友直接建议李荣浩与QQ音乐合作。 “下次带qq音乐玩吧哥，我是真不用网易云…特地为了专辑下载的网易云” 李荣浩所指专辑为一样音乐文化传播有限公司出版的《黑马》，该公司在微博发布声明称，“随专辑发出的NFC卡片出现的技术问题，目前正在等待相关平台以及技术部门解决，后续解决方案会及时同步大家”。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任SF055,2025-03-21 14:52:21.884230
