title,publish_time,source,content,processed_at
雅居投资控股将于6月20日派发末期股息每股0.014港元,2025年03月21日 08:03,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 雅居投资控股(0.25, -0.02, -7.41%)（08426）发布公告，该公司将于2025年6月20日派发末期股息每股0.014港元。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.052099
雅居投资控股发布年度业绩 年内溢利1696.5万港元同比减少4.55%,2025年03月21日 08:03,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 雅居投资控股(0.25, -0.02, -7.41%)（08426）发布2024年度业绩，该集团取得收益3.79亿港元，同比增加13.42%；年内溢利1696.5万港元，同比减少4.55%；每股盈利2.12港仙，拟派发末期股息每股1.4港仙。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.052099
日韩股市开盘 日经225指数低开0.4%,2025年03月21日 08:03,环球市场播报,日韩股市开盘，日经225指数低开0.4%，报37619.37点，受汽车股拖累。韩国KOSPI指数开盘下跌 0.1%，报 2633.90 点。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任,2025-03-21 10:50:57.052099
腾讯控股授出666.34万份购股权,2025年03月21日 08:02,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 腾讯控股(519, -21.00, -3.89%)（00700）发布公告，公司于2025年3月20日，根据购股权计划的条款向雇员参与者授予666.34万份购股权，以认购股份（但须待获授人接纳后方可作实）。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.052099
江苏宏信3月21日至3月26日招股 预计3月31日上市,2025年03月21日 08:00,新浪港股,江苏宏信（02625）于2025年3月21日-3月26日招股，公司拟发售5356.2万股，香港发售占10%，国际发售占90%，另有15%超额配股权。每股发售价2.5-3港元，每手1000股，预期股份将于2025年3月31日（星期一）开始在联交所买卖。 公司是一家粮油批发商，总部设在扬州，主要集中在苏中地区以“宏信龙”品牌经营超市及便利店零售业务。 公司已与基石投资者订立基石投资协议，据此，基石投资者已同意，在符合若干条件的情况下，按发售价认购可按发售价购买的发售股份数目（向下调整至最接近每手1，000股H股的完整买卖单位），金额最高约为500万美元（包括经纪佣金、证监会交易徵费、会财局交易徵费及联交所交易费）。 公司估计，假设发售价为每股2.75港元（即本招股章程所述发售价范围的中位数）及超额配股权未获行使，公司将自全球发售收到的所得款项净额（经扣除公司就全球发售应付的承销佣金、费用及预期开支后）将约为1.05亿港元。全球发售的所得款项净额约30.9%将用作开设新零售店铺，全球发售的所得款项净额约41.2%将用作建立新配送中心，全球发售的所得款项净额约26.8%将用作建立新的餐食中央厨房，全球发售的所得款项净额约1.1%将用于增强公司的ERP系统及基础设施系统，以提高公司的运营效率。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任,2025-03-21 10:50:57.052099
