title,publish_time,source,content,processed_at
运兴泰集团发布年度业绩 股东应占溢利29.6万港元同比扭亏为盈,2025年03月21日 08:17,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 运兴泰集团(0.06, 0.00, 1.70%)（08362）发布截至2024年12月31日止年度的年度业绩，收益1.09亿港元，同比增加0.13%；股东应占溢利29.6万港元，上年同期股东应占亏损319.9万港元，同比扭亏为盈；每股基本盈利0.02港仙。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.079027
金山云根据2021年股权激励计划授出合共523.24万个受限制股份单位,2025年03月21日 08:17,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 金山云(9.34, -0.11, -1.16%)（03896）发布公告，公司于2025年3月20日根据2021年股权激励计划的条款向若干雇员参与者授出合共523.24万个受限制股份单位，待予接纳，相当于523.24万股相关股份或约34.88万股美国存托股（向下调整至最接近的美国存托股整数）及公司于本公告日期已发行股份总数的约0.14%。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.079027
日本2月核心通胀率达3%，支持加息预期,2025年03月21日 08:15,环球市场播报,日本政府周五公布的数据显示，日本2月份核心通胀率（不包括新鲜食品价格）超出预期，达到3%，这为进一步加息提供了理由。 这一数字高于经济学家预期的2.9%，但低于1月份的3.2%。 2月份整体通胀率同比上涨3.7%，较1月份4%的两年高点有所回落，连续35个月保持在日本央行2%的目标之上。 所谓的“核心核心”通胀率（剔除新鲜食品和能源价格）从1月份的2.5%攀升至2.6%。 日本央行在一份声明中表示，“潜在的CPI通胀预计将逐步上升”，并与2%的目标“基本一致”。 日本央行表示，由于大米价格高企，以及政府放松了压低通胀的措施，核心通胀率在2025财年可能会上升。 日本央行补充称，汇率走势也更有可能影响价格，并称“日本经济活动和价格仍存在很大的不确定性，包括各国贸易和其他政策的演变情况。” .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任SF069,2025-03-21 10:50:57.079027
耐克第三季度财报营收高于市场预期，业务调整初见成效,2025年03月21日 08:15,市场资讯,耐克集团公布2025财年第三季度财务业绩。本季度耐克集团实现营收113亿美元，营收表现超分析师预期。其中耐克自营业务营收为47亿美元，耐克经销商业务营收62亿美元。耐克集团的库存资产为75亿美元，与去年同期相比减少2%，库存改善成效明显。 耐克正稳步推进战略转型步伐，通过持续释放品牌消费潜力，加大在跑步、篮球等传统优势领域和女性、户外等细分市场投入，为未来长期发展奠定坚实基础。耐克集团总裁兼首席执行官艾略特·希尔表示：“我们在过去90天内围绕‘Win Now’战略重点所取得的进展，进一步让我确信我们正走在正确的道路上。更令人振奋的是，通过运动员故事，性能产品和重大的体育时刻，耐克在本季度以运动为核心展现了品牌影响力。” .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任,2025-03-21 10:50:57.079027
数据显示美国特斯拉车主正以创纪录水平换车,2025年03月21日 08:10,环球市场播报,"美国汽车网站Edmunds周四公布的数据显示，在针对特斯拉(236.26, 0.40, 0.17%)CEO埃隆·马斯克的抗议浪潮中，特斯拉车主正以以创纪录的水平换购其他品牌的汽车。 Edmunds的数据显示，3月上半月，2017款及更新型号的特斯拉汽车占所有换购汽车交易量的1.4%，高于去年3月的0.4%。这家汽车购物网站的分析师表示，这一份额在本月下半月可能还会增长。 今年2月，也就是特朗普政府执政的第一个整月，特斯拉占全美换购汽车交易量的1.2%。 如果这一趋势继续下去，特斯拉3月份的换购份额将是Edmunds记录的最高月度份额。 Edmunds还表示，在其平台上购买特斯拉新车型的数量在去年11月达到峰值后，上个月降至2022年10月以来的最低水平。 埃德蒙兹（Edmunds）的洞察主管杰西卡·考德威尔（Jessica Caldwell）表示：“品牌忠诚度正成为一个更大的问号，因为埃隆·马斯克越来越多地在公众中参与政府事务、特斯拉折旧担忧以及特斯拉在主要大都市地区日益饱和等因素，让一些长期车主感到与该品牌脱节。” .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任SF069",2025-03-21 10:50:57.079027
