title,publish_time,source,content,processed_at
中国电力将于6月30日派发末期股息每股0.162元,2025年03月21日 08:06,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 中国电力(3.04, -0.02, -0.65%)（02380）发布公告，将于2025年6月30日派发截至2024年12月31日止年度的末期股息每股0.162元。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.063065
中国电力公布2024年业绩 普通股股东应占利润33.64亿元同比增长26.47%,2025年03月21日 08:06,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 中国电力(3.04, -0.02, -0.65%)（02380）公布2024年业绩，实现收入约542.13亿元，同比增长22.48%；集团权益持有人应占利润约38.62亿元，同比增长25.2%；公司普通股股东应占利润33.64亿元，同比增长26.47%；每股基本盈利0.27元，建议末期股息每股0.162元。 2024 年，该集团总售电量为约1.28亿兆瓦时，较上年度增加23.94%，受惠于有利的水文条件、战略性收购、新项目投产以及可再生能源装机容量增长。 风电及光伏发电板块利润持续增长，分别取得年度利润31.8亿元及17.2亿元，共占集团年度利润总额75%。水电板块由亏损转为利润5.2亿元，同比利润增加 13.4亿元，利润改善主要是由于集团水电厂所在地区的水文条件与前一年相比大幅改善。火电板块利润为15.6亿元，较上年度增长18.37%，主要是由于年内煤电需求稳定以及单位燃料成本下降。储能业务亦成为今年的一大亮点，利润较上年度增长约133%。在国家政策的利好支持下，该板块未来可望进一步释放其增长潜力。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.063065
上美股份将于5月30日派发末期股息每股0.75元,2025年03月21日 08:04,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 上美股份(44.65, -1.95, -4.18%)（02145）发布公告，将于2025年5月30日派发截至2024年12月31日止年度的末期股息每股人民币0.75元。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.063065
上美股份发布年度业绩 股东应占溢利7.81亿元同比增加69.42%,2025年03月21日 08:04,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 上美股份(44.65, -1.95, -4.18%)（02145）发布截至2024年12月31日止年度全年业绩，收入67.93亿元（人民币，下同），同比增加62.08%；毛利51.09亿元，同比增加69.22%；股东应占溢利7.81亿元，同比增加69.42%；每股基本盈利1.96元；拟派发末期股息每股0.75元。 公告称，集团的收入主要来自化妆品生产及销售。由于集团主要品牌之一韩束产生的收入增加，集团的收入同比增加。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.063065
雅居投资控股将于6月20日派发末期股息每股0.014港元,2025年03月21日 08:03,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 雅居投资控股(0.25, -0.02, -7.41%)（08426）发布公告，该公司将于2025年6月20日派发末期股息每股0.014港元。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.063065
