title,publish_time,source,content,processed_at
深圳控股与若干银行就一笔金额为40亿港元的定期贷款融资订立融资协议,2025年03月21日 08:30,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 深圳控股(0.89, -0.03, -3.26%)（00604）发布公告，于2025年3月20日，公司（作为借款人）与若干银行（作为贷款人）就一笔为期最长三年金额为40亿港元的定期贷款融资订立融资协议。 根据融资协议，倘（i）深业（集团）有限公司（深业）不再实益拥有公司至少35%已发行股本，或不再为公司的单一最大股东，或不再控制董事会；或（ii）中华人民共和国深圳市人民政府不再直接或间接实益拥有深业至少51%权益，则将为一项违约事件。倘发生上述违约事件，各贷款人于融资协议项下须作出承担的责任或其任何部份可予以终止，而融资项下的所有尚未偿还贷款及所有利息以及所有其他应付款项可能立即到期应付。 于本公告日期，深业实益持有公司已发行股本约62.33%（而与透过其全资附属公司所持权益一并计算，约63.19%），而中华人民共和国深圳市人民政府间接持有深业100%的权益。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.102962
华夏控股发盈喜 预期2024年业绩同比扭亏为盈至不少于1亿元,2025年03月21日 08:29,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 华夏控股(1.47, 0.00, 0.00%)（01981）公布，该集团预期2024年取得综合盈利不少于人民币1亿元，而2023年综合亏损人民币1.81亿元。扭亏为盈主要由于集团影视制作及投资业务的贸易及其他应收款项减值减少，及集团高等教育（传媒及艺术）及职业教育业务的本科生收益增加。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.102962
中国罕王发布年度业绩 股东应占溢利1.81亿元同比增加19.2%,2025年03月21日 08:25,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 中国罕王(1.01, 0.01, 1.00%)（03788）发布2024年度业绩，该集团取得收入人民币24.84亿元（单位下同），同比减少17.96%；公司拥有人应占溢利1.81亿元，同比增加19.2%；每股基本及摊薄盈利9.4分。 本集团的铁矿业务及高纯铁业务始终将连续稳定生产作为工作重点。2024年，两个业务板块的稳定生产天数进一步增加，提升了生产效率和产品质量。同时，两个业务板块从组织机构、清资核产、招标管理、项目管理、技术改造等多方面来加强精益管理，提升运营效率，从而实现了毛利小幅提升。本集团2024年录得年内溢利约1.76亿元，同比增加约16.34%。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.102962
运兴泰集团发布年度业绩 股东应占溢利29.6万港元同比扭亏为盈,2025年03月21日 08:17,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 运兴泰集团(0.06, 0.00, 1.70%)（08362）发布截至2024年12月31日止年度的年度业绩，收益1.09亿港元，同比增加0.13%；股东应占溢利29.6万港元，上年同期股东应占亏损319.9万港元，同比扭亏为盈；每股基本盈利0.02港仙。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.102962
金山云根据2021年股权激励计划授出合共523.24万个受限制股份单位,2025年03月21日 08:17,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 金山云(9.34, -0.11, -1.16%)（03896）发布公告，公司于2025年3月20日根据2021年股权激励计划的条款向若干雇员参与者授出合共523.24万个受限制股份单位，待予接纳，相当于523.24万股相关股份或约34.88万股美国存托股（向下调整至最接近的美国存托股整数）及公司于本公告日期已发行股份总数的约0.14%。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.102962
