title,publish_time,source,content,processed_at
数据显示美国特斯拉车主正以创纪录水平换车,2025年03月21日 08:10,环球市场播报,"美国汽车网站Edmunds周四公布的数据显示，在针对特斯拉(236.26, 0.40, 0.17%)CEO埃隆·马斯克的抗议浪潮中，特斯拉车主正以以创纪录的水平换购其他品牌的汽车。 Edmunds的数据显示，3月上半月，2017款及更新型号的特斯拉汽车占所有换购汽车交易量的1.4%，高于去年3月的0.4%。这家汽车购物网站的分析师表示，这一份额在本月下半月可能还会增长。 今年2月，也就是特朗普政府执政的第一个整月，特斯拉占全美换购汽车交易量的1.2%。 如果这一趋势继续下去，特斯拉3月份的换购份额将是Edmunds记录的最高月度份额。 Edmunds还表示，在其平台上购买特斯拉新车型的数量在去年11月达到峰值后，上个月降至2022年10月以来的最低水平。 埃德蒙兹（Edmunds）的洞察主管杰西卡·考德威尔（Jessica Caldwell）表示：“品牌忠诚度正成为一个更大的问号，因为埃隆·马斯克越来越多地在公众中参与政府事务、特斯拉折旧担忧以及特斯拉在主要大都市地区日益饱和等因素，让一些长期车主感到与该品牌脱节。” .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任SF069",2025-03-21 10:50:57.068056
中国电力将于6月30日派发末期股息每股0.162元,2025年03月21日 08:06,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 中国电力(3.04, -0.02, -0.65%)（02380）发布公告，将于2025年6月30日派发截至2024年12月31日止年度的末期股息每股0.162元。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.068056
中国电力公布2024年业绩 普通股股东应占利润33.64亿元同比增长26.47%,2025年03月21日 08:06,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 中国电力(3.04, -0.02, -0.65%)（02380）公布2024年业绩，实现收入约542.13亿元，同比增长22.48%；集团权益持有人应占利润约38.62亿元，同比增长25.2%；公司普通股股东应占利润33.64亿元，同比增长26.47%；每股基本盈利0.27元，建议末期股息每股0.162元。 2024 年，该集团总售电量为约1.28亿兆瓦时，较上年度增加23.94%，受惠于有利的水文条件、战略性收购、新项目投产以及可再生能源装机容量增长。 风电及光伏发电板块利润持续增长，分别取得年度利润31.8亿元及17.2亿元，共占集团年度利润总额75%。水电板块由亏损转为利润5.2亿元，同比利润增加 13.4亿元，利润改善主要是由于集团水电厂所在地区的水文条件与前一年相比大幅改善。火电板块利润为15.6亿元，较上年度增长18.37%，主要是由于年内煤电需求稳定以及单位燃料成本下降。储能业务亦成为今年的一大亮点，利润较上年度增长约133%。在国家政策的利好支持下，该板块未来可望进一步释放其增长潜力。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.068056
上美股份将于5月30日派发末期股息每股0.75元,2025年03月21日 08:04,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 上美股份(44.65, -1.95, -4.18%)（02145）发布公告，将于2025年5月30日派发截至2024年12月31日止年度的末期股息每股人民币0.75元。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.068056
上美股份发布年度业绩 股东应占溢利7.81亿元同比增加69.42%,2025年03月21日 08:04,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 上美股份(44.65, -1.95, -4.18%)（02145）发布截至2024年12月31日止年度全年业绩，收入67.93亿元（人民币，下同），同比增加62.08%；毛利51.09亿元，同比增加69.22%；股东应占溢利7.81亿元，同比增加69.42%；每股基本盈利1.96元；拟派发末期股息每股0.75元。 公告称，集团的收入主要来自化妆品生产及销售。由于集团主要品牌之一韩束产生的收入增加，集团的收入同比增加。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.068056
