title,publish_time,source,content,processed_at
彩客新能源：彩客科技2024年归母净利润约1.16亿元 同比增长35.11%,2025年03月21日 09:05,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 彩客新能源(0.73, 0.00, 0.00%)（01986）公布彩客科技2024年业绩，营业收入约4.54亿元，同比增长20.46%；归属于彩客科技股东的净利润约1.16亿元，同比增长35.11%。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.173769
"莱伯泰科：2024年净利润3,971.31万元，同比增长44.08%",2025年03月21日 09:05,市场资讯,"来源：Gangtise投研 莱伯泰科(33.300, 0.00, 0.00%) 2024年业绩快报显示，公司整体经营状况良好。2024年，公司营业收入42,437.20万元，同比增长2.01%；营业利润4，523.56万元，同比增长58.92%；归属于母公司所有者的净利润3,971.31万元，同比增长44.08%。主要财务指标均呈现大幅增长，主要原因是产品综合毛利率回升1.85个百分点，以及前期股份支付费用冲减、政府补助收入增加等因素。但需要注意的是，公司收购的CDS Analytical， LLC公司业绩未达预期，公司拟对其商誉计提约800万元的减值损失。尽管如此，公司整体财务状况良好，经营活动现金流量净额稳中有升。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.173769
赤子城科技2024年经调整EBITDA为约9.63亿元 同比增加42.8%,2025年03月21日 09:04,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 赤子城科技(6.45, -0.11, -1.68%)（09911）公布2024年业绩，客户合约收入约50.91亿元，同比增加53.9%。 毛利为约26.08亿元，同比增加51.4%。 年内利润约7.88亿元，同比增加3.6%。 经调整EBITDA为约9.63亿元，同比增加42.8%。 其中，公司社交业务继续保持高速增长，收入达46.3亿元，同比增长58.1%，主要是因为集团通过不断提升精细化运营能力及产品力，提升了用户体验和用户黏性，泛人群社交业务产品矩阵日渐明晰，收入实现进一步增长；于2023年8月，公司完成对Chizicheng Strategy Investment Limited的收购并开始合并蓝城兄弟控股有限公司及Land of Glory Ltd．的收入，布局多元人群社交业务，集中发力优势市场，积极拓展全球市场；集团借助AI技术迭代匹配算法和经营策略，有效提升社交效率和产品变现效率，从而驱动业务收入的持续增长。 创新业务收入达4.6亿元，同比增长21.3%，主要是得益于集团积极投入拓展的社交电商业务的持续发展，以及集团研发的精品游戏开始贡献收入。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.173769
期市开盘：低硫燃料油涨超3% SC原油等涨超2%,2025年03月21日 09:04,新浪期货,"function ft_articletoptg_scrollto(){ let ft_tg_el = document.getElementById('app-qihuo-kaihu-qr'); if(ft_tg_el){ let ft_tg_el_offtop = ft_tg_el.offsetTop - 100; window.scrollTo({ top: ft_tg_el_offtop, behavior: 'smooth' }); } } . .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 早盘开盘，国内期货主力合约涨跌不一。低硫燃料油(3495, -7.00, -0.20%)涨超3%，SC原油(607, -8.60, -1.40%)、集运欧线、燃料油涨超2%，沥青(3609, -13.00, -0.36%)、PX0>对二甲苯、氧化铝、20号胶、尿素涨超1%；跌幅方面，菜粕(2479, 38.00, 1.56%)跌超1%，豆粕(3111, 18.00, 0.58%)、苹果(6987, 33.00, 0.47%)、苯乙烯跌近1%。 .app-kaihu-qr .app-kaihu-qr 新浪合作大平台期货开户 安全快捷有保障 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.173769
赤子城科技授出约3031.62万份受限制股份单位,2025年03月21日 09:02,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 赤子城科技(6.45, -0.11, -1.68%)（09911）公布，于2025年3月20日，董事会决定并批准根据受限制股份单位奖励计划授出30，316，184份受限制股份单位予76位承授人，惟须经承授人接纳方可作实。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.173769
