title,publish_time,source,content,processed_at
江苏宏信3月21日至3月26日招股 预计3月31日上市,2025年03月21日 08:00,新浪港股,江苏宏信（02625）于2025年3月21日-3月26日招股，公司拟发售5356.2万股，香港发售占10%，国际发售占90%，另有15%超额配股权。每股发售价2.5-3港元，每手1000股，预期股份将于2025年3月31日（星期一）开始在联交所买卖。 公司是一家粮油批发商，总部设在扬州，主要集中在苏中地区以“宏信龙”品牌经营超市及便利店零售业务。 公司已与基石投资者订立基石投资协议，据此，基石投资者已同意，在符合若干条件的情况下，按发售价认购可按发售价购买的发售股份数目（向下调整至最接近每手1，000股H股的完整买卖单位），金额最高约为500万美元（包括经纪佣金、证监会交易徵费、会财局交易徵费及联交所交易费）。 公司估计，假设发售价为每股2.75港元（即本招股章程所述发售价范围的中位数）及超额配股权未获行使，公司将自全球发售收到的所得款项净额（经扣除公司就全球发售应付的承销佣金、费用及预期开支后）将约为1.05亿港元。全球发售的所得款项净额约30.9%将用作开设新零售店铺，全球发售的所得款项净额约41.2%将用作建立新配送中心，全球发售的所得款项净额约26.8%将用作建立新的餐食中央厨房，全球发售的所得款项净额约1.1%将用于增强公司的ERP系统及基础设施系统，以提高公司的运营效率。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任,2025-03-21 10:50:57.047107
光大期货：市场预期美联储六月降息 黄金盘面受支撑,2025年03月21日 07:59,市场资讯,"function ft_articletoptg_scrollto(){ let ft_tg_el = document.getElementById('app-qihuo-kaihu-qr'); if(ft_tg_el){ let ft_tg_el_offtop = ft_tg_el.offsetTop - 100; window.scrollTo({ top: ft_tg_el_offtop, behavior: 'smooth' }); } } . .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 3月20日，COMEX黄金价格上涨0.38%至3052.80美元/盎司，沪金主连上涨0.34%至710.98元/克。 降息方面，瑞士央行将基准利率下调25个基点至0.25%，为连续第五次降息；英国央行以8-1的票数维持利率在4.5%不变；土耳其央行紧急加息200个基点。 除此之外，特朗普敦促美联储降息，称美国关税开始影响经济。最新CME“美联储观察”数据显示，5月维持利率不变的概率为83.7%，降息25个基点的概率为16.3%，到6月维持利率不变的概率为29.9%，累计降息25个基点的概率为59.7%，累计降息50个基点的概率为10.5%。 综合而言，美联储今年降息时间提前，降息次数转为两次，短期为盘面提供支撑。 资料来源：Wind、金十数据、光大期货研究所 撰稿：吴爱华 从业资格：F3074355 投资咨询资格：Z0017696 免责声明：文中观点、建议和结论仅供参考，报告中的资料来源于公开信息，相关分析和建议并不构成所述品种的投资操作依据，投资者据此做出的任何投资决策与本公司和本作者无关。 .app-kaihu-qr .app-kaihu-qr 新浪合作大平台期货开户 安全快捷有保障 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.047107
腾讯控股根据股份奖励计划授出1688.99万股奖励股份,2025年03月21日 07:57,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 腾讯控股(519, -21.00, -3.89%)（00700）发布公告，本公司于2025年3月20日，根据股份奖励计划的条款向雇员参与者授予的奖励涉及1688.99万股奖励股份（惟须待获授人接纳后方可作实），占本公告日期已发行股份总数约0.1836%。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.047107
中广核矿业将于7月30日派发末期股息每股0.007港元,2025年03月21日 07:56,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 中广核矿业(1.54, 0.02, 1.32%)（01164）发布公告，将于2025年7月30日派发截至2024年12月31日止年度的末期股息每股0.007港元。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.047107
中广核矿业公布2024年业绩 股东应占溢利约3.42亿港元同比减少31.2%,2025年03月21日 07:55,新浪港股,". .hqimg_related .hqimg_related .hqimg_related .hqimg_related .to_page .hqimg_related .hqimg_related 热点栏目 自选股 数据中心 行情中心 资金流向 模拟交易 客户端 中广核矿业(1.54, 0.02, 1.32%)（01164）公布2024年业绩，持续性业务营业额为约86.24亿港元，同增长17.18%；公司拥有人应占本年度溢利约3.42亿港元，同比减少31.2%；每股盈利4.5港仙，拟派发末期股息每股普通股0.7港仙。 公告称，营业额增长主要原因是中广核国际销售公司把握天然铀市场活跃时机，全年销售量增加。溢利减少主要原因是所得税费用上升和终止经营的损失。 .appendQr_normal 海量资讯、精准解读，尽在新浪财经APP 责任",2025-03-21 10:50:57.047107
